query_set,system,query_type,queries,precision@3,recall@3,mrr,ndcg@3,hit@1
Deutsch n=25,BM25_domain,overall,25.0,0.26666666666666655,0.78,0.7333333333333333,0.7350002679963349,0.68
Deutsch n=25,BM25_domain,numerical,3.0,0.3333333333333333,1.0,1.0,1.0,1.0
Deutsch n=25,BM25_domain,exam,4.0,0.25,0.75,0.75,0.75,0.75
Deutsch n=25,BM25_domain,responsible_person,4.0,0.3333333333333333,1.0,0.875,0.9077324383928644,0.75
Deutsch n=25,BM25_domain,semester,2.0,0.3333333333333333,1.0,1.0,1.0,1.0
Deutsch n=25,BM25_domain,content,3.0,0.2222222222222222,0.6666666666666666,0.27777777777777773,0.37697658452381916,0.0
Deutsch n=25,BM25_domain,prerequisite,2.0,0.3333333333333333,1.0,1.0,1.0,1.0
Deutsch n=25,BM25_domain,broad_topic,5.0,0.13333333333333333,0.3,0.4,0.3226294385530917,0.4
Deutsch n=25,BM25_domain,language,2.0,0.3333333333333333,1.0,1.0,1.0,1.0
Deutsch n=25,Dense,overall,25.0,0.14666666666666667,0.4,0.34,0.3525004019945024,0.28
Deutsch n=25,Dense,numerical,3.0,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.2103099178571525,0.0
Deutsch n=25,Dense,exam,4.0,0.0,0.0,0.0,0.0,0.0
Deutsch n=25,Dense,responsible_person,4.0,0.0,0.0,0.0,0.0,0.0
Deutsch n=25,Dense,semester,2.0,0.3333333333333333,1.0,0.5,0.6309297535714575,0.0
Deutsch n=25,Dense,content,3.0,0.0,0.0,0.0,0.0,0.0
Deutsch n=25,Dense,prerequisite,2.0,0.3333333333333333,1.0,1.0,1.0,1.0
Deutsch n=25,Dense,broad_topic,5.0,0.26666666666666666,0.6,0.6,0.5839441578296375,0.6
Deutsch n=25,Dense,language,2.0,0.3333333333333333,1.0,1.0,1.0,1.0
Deutsch n=25,Hybrid_alpha_0.25,overall,25.0,0.30666666666666653,0.88,0.8133333333333332,0.8234486265732657,0.72
Deutsch n=25,Hybrid_alpha_0.25,numerical,3.0,0.3333333333333333,1.0,1.0,1.0,1.0
Deutsch n=25,Hybrid_alpha_0.25,exam,4.0,0.25,0.75,0.75,0.75,0.75
Deutsch n=25,Hybrid_alpha_0.25,responsible_person,4.0,0.3333333333333333,1.0,0.875,0.9077324383928644,0.75
Deutsch n=25,Hybrid_alpha_0.25,semester,2.0,0.3333333333333333,1.0,1.0,1.0,1.0
Deutsch n=25,Hybrid_alpha_0.25,content,3.0,0.3333333333333333,1.0,0.8333333333333334,0.8769765845238192,0.6666666666666666
Deutsch n=25,Hybrid_alpha_0.25,prerequisite,2.0,0.3333333333333333,1.0,1.0,1.0,1.0
Deutsch n=25,Hybrid_alpha_0.25,broad_topic,5.0,0.26666666666666666,0.6,0.4666666666666667,0.4648712314377457,0.2
Deutsch n=25,Hybrid_alpha_0.25,language,2.0,0.3333333333333333,1.0,1.0,1.0,1.0
Deutsch n=25,Hybrid_alpha_0.50,overall,25.0,0.3199999999999999,0.9,0.76,0.7957115704285749,0.64
Deutsch n=25,Hybrid_alpha_0.50,numerical,3.0,0.3333333333333333,1.0,0.8333333333333334,0.8769765845238192,0.6666666666666666
Deutsch n=25,Hybrid_alpha_0.50,exam,4.0,0.25,0.75,0.5833333333333334,0.625,0.5
Deutsch n=25,Hybrid_alpha_0.50,responsible_person,4.0,0.3333333333333333,1.0,0.875,0.9077324383928644,0.75
Deutsch n=25,Hybrid_alpha_0.50,semester,2.0,0.3333333333333333,1.0,1.0,1.0,1.0
Deutsch n=25,Hybrid_alpha_0.50,content,3.0,0.3333333333333333,1.0,0.7777777777777778,0.8333333333333334,0.6666666666666666
Deutsch n=25,Hybrid_alpha_0.50,prerequisite,2.0,0.3333333333333333,1.0,1.0,1.0,1.0
Deutsch n=25,Hybrid_alpha_0.50,broad_topic,5.0,0.3333333333333333,0.7,0.4666666666666666,0.5261859507142915,0.2
Deutsch n=25,Hybrid_alpha_0.50,language,2.0,0.3333333333333333,1.0,1.0,1.0,1.0
Mehrsprachig n=18,BM25_domain,overall,18.0,0.3148148148148147,0.9444444444444444,0.7777777777777779,0.8201033059523842,0.6666666666666666
Mehrsprachig n=18,BM25_domain,exam,3.0,0.3333333333333333,1.0,1.0,1.0,1.0
Mehrsprachig n=18,BM25_domain,numerical,3.0,0.3333333333333333,1.0,1.0,1.0,1.0
Mehrsprachig n=18,BM25_domain,responsible_person,3.0,0.2222222222222222,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
Mehrsprachig n=18,BM25_domain,semester,3.0,0.3333333333333333,1.0,1.0,1.0,1.0
Mehrsprachig n=18,BM25_domain,content,3.0,0.3333333333333333,1.0,0.38888888888888884,0.5436432511904858,0.0
Mehrsprachig n=18,BM25_domain,broad_topic,3.0,0.3333333333333333,1.0,0.611111111111111,0.7103099178571526,0.3333333333333333
Mehrsprachig n=18,Dense,overall,18.0,0.14814814814814814,0.4444444444444444,0.31481481481481477,0.34788108373016197,0.2222222222222222
Mehrsprachig n=18,Dense,exam,3.0,0.0,0.0,0.0,0.0,0.0
Mehrsprachig n=18,Dense,numerical,3.0,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.0
Mehrsprachig n=18,Dense,responsible_person,3.0,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.0
Mehrsprachig n=18,Dense,semester,3.0,0.3333333333333333,1.0,0.6666666666666666,0.7539531690476383,0.3333333333333333
Mehrsprachig n=18,Dense,content,3.0,0.0,0.0,0.0,0.0,0.0
Mehrsprachig n=18,Dense,broad_topic,3.0,0.3333333333333333,1.0,1.0,1.0,1.0
Mehrsprachig n=18,Hybrid_alpha_0.25,overall,18.0,0.33333333333333326,1.0,0.898148148148148,0.923940541865081,0.8333333333333334
Mehrsprachig n=18,Hybrid_alpha_0.25,exam,3.0,0.3333333333333333,1.0,1.0,1.0,1.0
Mehrsprachig n=18,Hybrid_alpha_0.25,numerical,3.0,0.3333333333333333,1.0,1.0,1.0,1.0
Mehrsprachig n=18,Hybrid_alpha_0.25,responsible_person,3.0,0.3333333333333333,1.0,0.7777777777777777,0.8333333333333334,0.6666666666666666
Mehrsprachig n=18,Hybrid_alpha_0.25,semester,3.0,0.3333333333333333,1.0,1.0,1.0,1.0
Mehrsprachig n=18,Hybrid_alpha_0.25,content,3.0,0.3333333333333333,1.0,0.7777777777777777,0.8333333333333334,0.6666666666666666
Mehrsprachig n=18,Hybrid_alpha_0.25,broad_topic,3.0,0.3333333333333333,1.0,0.8333333333333334,0.8769765845238192,0.6666666666666666
Mehrsprachig n=18,Hybrid_alpha_0.50,overall,18.0,0.3148148148148147,0.9444444444444444,0.8888888888888888,0.9034366392857175,0.8333333333333334
Mehrsprachig n=18,Hybrid_alpha_0.50,exam,3.0,0.3333333333333333,1.0,1.0,1.0,1.0
Mehrsprachig n=18,Hybrid_alpha_0.50,numerical,3.0,0.3333333333333333,1.0,1.0,1.0,1.0
Mehrsprachig n=18,Hybrid_alpha_0.50,responsible_person,3.0,0.2222222222222222,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
Mehrsprachig n=18,Hybrid_alpha_0.50,semester,3.0,0.3333333333333333,1.0,1.0,1.0,1.0
Mehrsprachig n=18,Hybrid_alpha_0.50,content,3.0,0.3333333333333333,1.0,0.8333333333333334,0.8769765845238192,0.6666666666666666
Mehrsprachig n=18,Hybrid_alpha_0.50,broad_topic,3.0,0.3333333333333333,1.0,0.8333333333333334,0.8769765845238192,0.6666666666666666
